4	6362	0	0	0.037031	0.014874	0	0	0	0
10	14873	0.082192	0.0081052	0.22864	0.15076	0	0	0	0
5	16983	0	0	0.77665	0.053602	0	0	0	0
12	17827	0.1934	0.80708	0.52953	0.38314	0	0	0	0
8	11252	0.22122	0.12669	0.07554	0.093543	0	0	0	0
10	11959	0.37311	0.31327	0.18323	0.28943	0	0	0	0
10	16124	0.13408	0.19355	0.6637	0.33721	0	0	0	0
10	11959	0.18049	0.029947	0.18007	0.34617	0	0	0	0
12	14933	0.028436	0.062043	0.31372	0.39413	0	0	0	0
12	15944	0.020833	0	0.44284	0.5676	0	0	0	1
9	11655	0.33034	0.24777	0.2104	0.17033	0	0	0	0
12	14933	0.78333	0.51564	0.35034	0.60509	1	1	1	1
10	11108	0.61802	0.15663	0.14657	0.30516	0	0	0	0
10	11959	0.43293	0.63586	0.23052	0.25503	0	0	0	0
8	11136	0	0	0.08297	0.11802	0	0	0	0
10	14933	0	0	0.26873	0.21957	0	0	0	0
10	16273	0.035714	0.44911	0.66066	0.22891	0	0	0	0
7	11655	0	0	0.25978	0.064565	0	0	0	0
8	14450	0.10224	0.13613	0.4825	0.12953	0	0	0	0
12	17827	0.24947	0.03713	0.50729	0.4091	0	0	0	0
12	18783	0.38699	0.015017	0.92915	0.58107	1	1	0	1
10	14933	0.27613	0.73972	0.27316	0.16384	0	0	0	0
12	18783	0.71214	0.93473	1	0.62499	0	0	0	1
12	14933	0.69136	0.60004	0.37726	0.52981	1	1	1	1
10	11108	0.35862	0.46537	0.13082	0.11399	0	0	0	0
10	16273	0.49593	0.61802	0.6062	0.36535	0	0	0	0
12	17467	0.94375	0.33031	0.78548	0.68187	1	1	1	1
12	17641	0.91653	0.75958	0.76514	0.9371	1	1	1	1
10	11655	0.54798	0.16759	0.1912	0.26507	0	0	0	0
10	14919	0.28902	0.39963	0.50973	0.20958	0	0	0	0
8	8935	0	0	0.052216	0.075644	0	0	0	0
9	11252	0	0	0.092553	0.14177	0	0	0	0
4	6320	0	0	0.051916	0.025585	0	0	0	0
10	14207	0.73509	0.67795	0.41315	0.43117	0	0	0	0
12	18783	0.83363	0.85328	0.85223	1	1	1	1	1
12	18783	0.26263	0.049685	0.74244	0.60173	0	0	0	1
12	18783	0.86078	1	0.95026	0.87408	1	1	1	1
12	18783	0.51383	0.23357	0.79858	0.58029	0	0	0	1
12	11252	0.63566	0.41623	0.24235	0.70781	1	1	1	1
9	11252	0.054264	0.54972	0.11209	0.16539	0	0	0	0
9	10167	0	0	0.13726	0.12504	0	0	0	0
4	6010	0	0	0.024223	0.0090561	0	0	0	0
10	14873	0.15544	0.56677	0.2411	0.15438	0	0	0	0
5	14724	0	0.10706	0.52808	0.043986	0	0	0	0
12	20433	0	0.0030848	0.63894	0.36294	0	0	0	0
8	11133	0.1118	0.085337	0.057536	0.092077	0	0	0	0
10	11673	0.23529	0.26345	0.17112	0.29505	0	0	0	0
10	15944	0.41745	0.074117	0.59586	0.27563	0	0	0	0
10	11673	0.042194	0.0055105	0.15107	0.26868	0	0	0	0
12	14933	0.46459	0.65729	0.29691	0.38975	0	0	0	0
12	15944	0.59977	0.53286	0.47789	0.46413	0	0	0	0
10	11344	0.31618	0.14561	0.1669	0.17343	0	0	0	0
12	15944	0.67159	0.11707	0.4465	0.45757	0	0	0	0
10	11108	0.56436	0.48215	0.10799	0.20873	0	0	0	0
10	11673	0.14439	0.58367	0.18993	0.29113	0	0	0	0
7	10126	0	0	0.062498	0.078437	0	0	0	0
10	14933	0.092105	0.43277	0.28868	0.24232	0	0	0	0
7	14007	0.059925	0	0.39738	0.078024	0	0	0	0
5	11344	0	0	0.18405	0.030225	0	0	0	0
7	13907	0.16751	0.38265	0.29366	0.070629	0	0	0	0
12	20433	0.071429	0.8304	0.62754	0.37314	0	0	0	0
12	18783	0	0.0014575	0.81377	0.55049	1	1	0	1
10	14933	0.40191	0.022517	0.27375	0.16752	0	0	0	0
12	18783	0.65297	0.90628	0.87335	0.55931	0	0	0	1
12	14933	0.75856	0.2204	0.37551	0.59056	1	1	1	1
10	11108	0	0	0.11302	0.11893	0	0	0	0
10	14724	0.53093	0.27897	0.4369	0.35577	0	0	0	0
12	17467	0.88852	0.78355	0.69432	0.64898	1	1	1	1
12	17641	0.97112	0.87895	0.80796	0.90747	1	1	1	1
10	9381	0.48056	0.18045	0.10041	0.19652	0	0	0	0
8	14007	0.30189	0.36533	0.40459	0.12424	0	0	0	0
10	8935	0.048387	0.29563	0.12078	0.18292	0	0	0	0
10	11133	0	0	0.077277	0.17021	0	0	0	0
5	5700	0	0	0.021458	0.04826	0	0	0	0
10	13907	0.80759	0.71935	0.34289	0.42505	0	0	0	0
12	18783	0.44833	0.69837	0.84209	0.91059	1	1	1	1
12	18783	0.12281	0	0.77409	0.57362	0	0	0	0
12	18783	1	0.96797	0.90614	0.86781	1	1	1	1
12	18783	0.011834	0.096644	0.84289	0.71273	1	1	1	1
12	11322	0.58134	0.34749	0.24228	0.70411	1	1	1	1
10	11133	0.34446	0.4988	0.092975	0.25653	0	0	0	0
9	11108	0.20737	0.2069	0.16027	0.14341	0	0	0	0
