1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	2
1	2
1	2
1	2
1	2
1	2
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	4
3	5
3	5
3	5
3	5
3	6
3	6
3	6
3	6
3	5
3	6
3	6
3	5
3	6
3	6
3	5
3	6
3	5
3	5
3	5
3	5
3	5
3	5
4	7
4	7
4	7
4	7
4	7
4	7
5	8
5	8
5	8
5	8
5	8
1	9
1	9
1	9
1	9
1	9
1	9
1	9
6	10
6	10
6	10
5	11
5	11
5	11
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	13
6	13
6	13
6	13
6	13
6	13
6	13
6	13
6	13
6	13
6	13
6	13
6	13
6	13
8	14
8	14
8	14
8	14
8	15
8	15
8	15
8	15
8	15
7	16
7	16
7	16
7	16
7	16
7	16
7	16
7	16
7	16
7	16
7	16
7	16
