0	0	0	0	0	0	0.11165	0	0	0	0	0	0	0.2675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16968	0.08741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.12004	0	0	0	0.03016	0	0	0	0	0	0	0	0	0.60337	0	0.088542	0.38182	0	0.23972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38289	0	0	0	0	0	0	0	0	0	0	0.018235	0	0	0	0	0	0	0	0	0.020695	0	0.0063971	0.050703	0	0.025642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54554	0	0	0	0	0	0.99662	0	0	0.38884	0.5971	0	0	0	0	0	0	0	0	0	0.10466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.10174	0.27021	0	0.22894	0	0	0	0	0	0	0	1.67	0	0	0	0.21379	0	0	0	0.38788	0	0	0	0	0	0	0	0	0	0	0.023353	0	0	0	0	0	0.083081	0	0	0	0	0.017585	0.027426	0	0.02375	0	0	0	0	0	0	0	0.029644	0	0	0	0.019032	0	0	0	0.050853	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.063793	0	0	0.027663	0	0	0.010736	0	0	0.25641	0	0	0	0	0	0	0	0	0.025584	0	0	0	0	0	0	0	0.10285	0	0.056694	0	0	0	0	0.39038	0.4476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.063793	0	0.067174	0.30637	0	0.40895	0	0.29681	0	0.021127	0.12271	0	0	0	0	0	0	0	0	0	0	0	0	0.019328	0.020082	0	0	0.032286	0	0.013229	0.026816	0	0.036173	0	0.097715	0.036542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.11165	0	0	0	0	0.067174	0	0.15257	0	0.37791	0	0	0	0.40514	0	0	0.024646	0	0	0	0.060255	0	0.058895	0	0	0	0	1.2099	0.064249	0.24261	0	0	0	0.013251	0.048124	0	0.18146	0.02919	0.011069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.30637	0.15257	0	0	0.13016	0	0.023279	0	0.39375	0	0	0.049816	0	0	0	0	0	0.054684	0	0	0	0	0.024659	0.026093	0.017312	0	0.040799	0	0.0086269	0.011955	0	0.065416	0.009475	0.014761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.12004	0	0.10174	0.027663	0	0	0	0	0	0	0.099138	0	0	0.16056	0	0	0	0	0.037966	0	0.60448	0	0.6807	0.091987	0	0.048498	0.040284	0	0	0	0	0	0	0	0	0	0	0.087109	0	0	0	0.027563	0	0	0	0	0	0	0.25078	0	0	0	0	0	0	0	0	0	0	0	0	0.053812	0	0.064359	0	0	0.015058	0.018224	0	0	0	0	0	0	0	0	0	0	0.015403	0	0
0	0	0	0.27021	0	0.40895	0.37791	0.13016	0	0	0.013051	0.25902	0	0.10073	0	0	0	0	0	0.16914	0	0	0	0	0	0	0	0.26637	0.043611	0	0	0	0	0.021642	0.063999	0	0.13579	0.011307	0.015391	0	0	0	0	0	0.028217	0	0	0	0	0	0.087275	0	0.024464	0	0	0	0	0	0	0	0.033757	0	0	0	0.013807	0	0	0	0.080008	0	0	0	0	0	0	0.02721	0	0.018842	0	0	0	0
