Modules Clustering Strength
0|0|1|0|0|0|0|0	226.601	3793.000
0|0|0|1|0|0|0|0	126.209	4339.000
0|0|0|1|0|0|0|0	150.626	12069.000
0|1|0|0|0|0|0|0	147.673	8417.000
0|0|0|0|0|0|1|0	315.154	1500.000
1|0|0|0|0|0|0|0	188.432	7433.000
0|1|0|0|0|0|0|0	172.825	11688.000
1|0|0|0|0|0|0|0	186.968	6154.000
0|0|0|0|0|0|1|0	118.562	5430.000
1|1|0|0|0|0|0|0	177.671	10757.000
0|0|1|1|0|0|0|0	131.780	8564.000
1|1|0|0|0|0|0|0	151.398	8537.000
0|0|1|0|0|0|0|0	133.853	6973.000
1|0|0|0|0|0|0|0	192.401	8111.000
0|0|0|0|0|1|0|0	176.201	2706.000
0|0|0|1|0|0|0|0	197.377	5515.000
0|0|0|1|0|0|0|0	154.795	8009.000
0|0|1|0|0|0|0|0	229.203	3811.000
0|0|0|1|0|0|0|0	155.197	6418.000
0|1|0|0|0|0|0|0	157.812	9203.000
0|0|0|1|0|0|0|0	162.046	10045.000
0|0|0|0|0|0|1|0	125.750	3613.000
0|0|0|1|0|1|1|0	148.773	18845.000
0|1|0|0|0|1|0|0	126.550	9656.000
0|0|1|1|0|0|0|0	174.617	3929.000
0|0|0|1|0|0|0|0	142.003	17801.000
0|0|0|1|0|0|0|0	114.399	24391.000
0|1|0|0|0|0|0|0	134.104	16677.000
0|0|0|0|1|0|0|0	160.172	7559.000
0|1|0|1|0|0|0|0	144.180	9677.000
1|0|0|0|0|0|0|0	241.717	1640.000
0|1|0|0|0|0|0|0	223.000	1255.000
0|0|1|0|0|0|0|0	197.662	2208.000
0|0|0|1|0|0|0|0	123.298	8536.000
0|0|0|1|0|0|0|0	115.492	13038.000
0|0|0|1|0|0|0|0	129.763	12098.000
0|0|0|1|0|0|0|0	106.424	18397.000
0|0|0|1|0|0|0|0	140.353	4802.000
0|1|0|0|1|1|0|0	139.628	5966.000
0|0|1|0|0|0|1|0	172.982	1781.000
0|0|0|1|0|0|0|0	216.589	1186.000
0|0|1|1|0|0|1|0	228.627	2768.000
0|0|0|1|0|1|0|0	144.927	3906.000
1|0|0|0|0|1|0|0	195.026	7060.000
0|0|0|0|1|0|0|0	176.977	8605.000
0|0|0|0|0|0|0|1	189.729	2002.000
0|0|0|0|1|0|0|0	182.310	9540.000
0|0|0|0|1|0|0|0	157.569	11313.000
0|0|0|0|1|0|0|0	177.368	8209.000
1|0|0|0|1|0|0|1	113.942	5266.000
0|0|0|0|1|0|0|0	194.145	11992.000
1|1|0|1|0|0|0|0	133.416	6865.000
0|0|0|0|1|0|0|0	146.826	8038.000
0|0|0|0|0|0|1|0	135.696	5391.000
0|0|0|0|1|0|0|0	185.048	8624.000
0|0|0|0|0|0|0|1	187.490	2622.000
0|0|0|0|0|1|0|0	154.534	5948.000
0|0|0|0|0|1|0|0	163.307	6243.000
0|0|0|0|1|0|0|0	170.182	3824.000
1|0|0|0|0|0|0|0	157.787	5168.000
0|0|0|0|1|0|0|0	187.697	10504.000
0|0|0|0|0|1|0|0	173.890	10388.000
0|1|0|0|0|1|0|0	118.761	3929.000
0|0|0|0|0|1|0|0	148.189	16677.000
0|0|0|0|1|0|0|0	124.146	9518.000
0|0|0|1|0|0|0|0	173.338	3416.000
0|0|0|0|0|1|0|0	142.428	14577.000
0|0|0|1|0|1|0|0	117.797	22044.000
0|0|0|0|1|0|0|0	130.771	15810.000
0|1|0|0|1|0|1|0	147.451	6604.000
1|0|0|0|1|1|0|0	167.641	9067.000
0|0|0|0|0|1|1|0	224.929	2417.000
1|1|1|0|0|1|0|0	255.574	1806.000
0|0|0|1|0|1|0|0	198.800	1695.000
0|0|0|0|0|0|1|0	136.215	9206.000
0|0|0|0|0|1|1|0	111.967	10926.000
0|0|0|0|0|0|1|0	112.616	11368.000
0|1|0|1|0|0|1|0	111.168	16453.000
0|1|0|0|0|0|1|0	129.292	6695.000
0|0|0|0|0|0|0|1	128.286	6802.000
0|1|0|1|0|0|0|0	162.049	2341.000
1|1|1|0|1|0|0|1	188.533	1308.000
