6	-52	27
39	-40	46
5	47	19
25	-26	-30
35	11	-18
40	36	32
49	-2	-23
8	15	21
29	56	2
23	-63	-15
15	35	-2
7	-71	-14
57	-6	-10
25	-1	-17
7	-3	58
48	-48	13
41	-71	-10
44	-60	4
12	48	8
43	-9	42
7	-13	40
38	-24	45
9	25	37
6	-68	6
31	-77	16
9	-61	42
21	32	48
54	-21	-4
52	7	31
9	-94	-7
32	-45	-31
44	-10	9
38	-30	2
12	-12	8
16	-41	10
27	-31	1
21	-26	0
26	-8	-12
24	-25	-17
11	-43	-6
-4	-52	28
-38	-43	46
-5	46	21
-22	-28	-30
-33	9	-18
-43	32	32
-48	-4	-24
-7	14	21
-31	54	2
-21	-63	-15
-12	34	-2
-6	-70	-13
-56	-8	-15
-24	-3	-17
-7	-5	57
-45	-48	12
-39	-72	-10
-44	-60	5
-12	46	8
-41	-12	42
-4	-14	40
-39	-21	43
-9	24	37
-5	-68	7
-30	-79	15
-7	-61	42
-21	32	49
-53	-22	-5
-51	0	32
-8	-94	-8
-31	-45	-31
-43	-12	9
-36	-32	0
-11	-13	8
-15	-41	11
-25	-33	0
-21	-27	1
-26	-10	-12
-23	-27	-18
-9	-42	-6
