134																															
71	71																														
19	2	19																													
11	6	1	11																												
19	6	4	5	19																											
3	3	0	2	2	3																										
10	4	1	5	6	2	10																									
13	0	3	0	6	0	0	13																								
4	0	0	0	0	0	0	4	4																							
13	2	2	0	0	0	0	0	0	13																						
7	7	0	0	0	0	0	0	0	1	7																					
8	2	4	5	5	2	5	1	0	0	0	8																				
17	16	1	1	0	0	1	0	0	1	3	0	17																			
9	9	0	0	0	0	0	0	0	0	1	0	1	9																		
6	6	0	0	0	0	0	0	0	0	0	0	0	6	6																	
9	6	0	0	0	0	0	0	0	0	0	0	0	6	6	9																
11	11	0	1	0	0	1	0	0	0	2	0	11	0	0	0	10															
4	1	3	0	0	0	0	0	0	0	1	0	2	0	0	0	1	4														
9	8	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9													
5	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	5												
1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1											
5	0	3	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	5										
7	0	1	0	1	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7									
4	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5								
6	0	1	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6							
4	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	4						
2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2					
1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3			
2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2		
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
