# '/Users/macshine/Documents/Drafts/Integration/Infomap/test1.net /Users/macshine/Documents/Drafts/Integration/Infomap -u --clu --num-trials 1000' -> 375 nodes partitioned in 12s from codelength 8.360157911 in one level to codelength 6.888239475 in 2 levels.
# nodeId clusterIndex flow:
161 29 0.000677507
95 30 0.00406504
65 30 0.00338753
246 30 0.00271003
42 30 0.00203252
119 30 0.00203252
212 30 0.00135501
348 30 0.00135501
54 30 0.000677507
142 31 0.00338753
262 31 0.00271003
282 31 0.00203252
365 31 0.00203252
373 31 0.00203252
123 31 0.00135501
133 31 0.00135501
300 31 0.00135501
55 31 0.000677507
105 32 0.00271003
260 32 0.00271003
347 32 0.00271003
162 32 0.00203252
200 32 0.00203252
61 32 0.00135501
157 32 0.00135501
330 32 0.00135501
217 32 0.000677507
307 33 0.00406504
220 33 0.00338753
2 33 0.00271003
196 33 0.00203252
206 33 0.00203252
12 33 0.00135501
259 34 0.00338753
6 34 0.00271003
247 34 0.00271003
64 34 0.00203252
229 34 0.00203252
90 34 0.00135501
198 34 0.00135501
223 35 0.00406504
117 35 0.00338753
122 35 0.00271003
296 35 0.00271003
41 35 0.00135501
251 35 0.00135501
369 36 0.00338753
25 36 0.00271003
171 36 0.00271003
118 36 0.00203252
177 36 0.00135501
256 36 0.00135501
147 36 0.000677507
96 37 0.00338753
281 37 0.00338753
83 37 0.00271003
228 37 0.00203252
49 37 0.00135501
359 37 0.000677507
57 38 0.00338753
279 38 0.00271003
39 38 0.00203252
333 38 0.00203252
159 38 0.00135501
110 38 0.000677507
265 38 0.000677507
107 39 0.00271003
82 39 0.00203252
101 39 0.00203252
115 39 0.00203252
151 39 0.00135501
280 39 0.00135501
328 39 0.00135501
170 40 0.00271003
213 40 0.00271003
274 40 0.00271003
38 40 0.00135501
68 40 0.00135501
294 40 0.00135501
343 41 0.00271003
91 41 0.00203252
232 41 0.00203252
344 41 0.00203252
189 41 0.00135501
149 41 0.000677507
81 42 0.00271003
257 42 0.00271003
225 42 0.00203252
29 42 0.00135501
309 42 0.00135501
266 43 0.00338753
135 43 0.00271003
263 43 0.00203252
362 43 0.00135501
303 43 0.000677507
67 44 0.00338753
352 44 0.00271003
19 44 0.00135501
182 44 0.00135501
13 44 0.000677507
313 45 0.00271003
160 45 0.00203252
346 45 0.00203252
201 45 0.000677507
37 46 0
40 47 0
62 48 0
108 49 0
233 50 0
