0	0	0	0	0	0	0	0	0	8.0554	0	8.912	0	0
0	0	0	0	0	0	0	8.0546	0	0	0	9.3697	0	0
0	0	8.2726	0	0	0	0	0	8.6552	0	0	8.8319	0	0
0	0	0	0	0	8.0205	9.172	8.3454	9.5532	8.5129	0	9.4424	0	0
0	0	0	0	0	0	0	8.4954	8.5708	9.0249	0	8.5207	0	0
0	0	0	8.0205	0	0	0	0	0	0	0	0	0	0
0	0	0	9.1754	0	0	8.9367	0	8.3209	8.2341	0	8.97	0	0
0	8.0546	0	8.3472	8.3252	0	0	0	0	0	0	0	0	0
0	0	8.6552	9.5532	8.5708	0	8.3209	0	0	8.3641	0	8.7604	0	0
8.0554	0	0	8.5228	8.8584	0	8.2341	0	8.3641	8.3349	0	8.7844	0	0
0	0	0	0	0	0	0	0	0	0	0	8.4546	0	0
9.0489	9.4041	8.9951	9.4832	8.5015	0	8.9094	0	8.979	8.8846	8.3438	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
