AnatClass,degree,strength
3,26,9.16496292492278
1,26,9.30442301148228
1,34,12.604836705281
4,34,12.854005039451
3,10,2.08476113670835
3,36,12.4115160110797
2,45,18.2271858706633
3,21,6.27977969820658
2,41,16.4274519522519
4,36,13.6597521133813
1,23,6.27454803750886
4,36,12.6435848179415
1,29,8.62220014847089
3,21,6.37502172949671
3,20,5.29296643817418
2,25,8.87902091071139
1,29,9.5254493942038
1,5,1.08624769404608
1,23,7.35309584334177
4,39,15.462884084611
2,33,12.2697090484671
2,39,15.0690541157215
1,42,16.0359259816051
2,49,19.386905857576
1,26,7.52683391465139
1,44,15.5452605578752
1,43,15.8565213704405
2,45,17.9076533596975
3,34,11.4565435125228
2,38,14.0100968402127
1,17,4.51673631466329
3,9,1.77294241425316
3,26,9.23054738221468
3,39,13.4565906640734
5,43,16.1406807849076
5,41,15.2715003850089
5,42,15.0941131051835
5,32,10.2472040210089
5,38,13.2452065912722
5,18,5.20640490243671
5,16,3.88915141874557
3,28,10.0751115385278
1,29,10.1876228830544
1,33,12.3207409504253
4,35,12.6132588760625
3,8,1.5931167558481
3,36,12.3935941164013
2,45,18.2929255309405
3,15,4.40207027968418
2,39,15.6121389094228
4,36,13.5617545651943
1,27,8.09791961636949
4,38,13.6424327557918
1,28,8.70862241582911
3,20,6.12654171054557
3,18,4.99185084598734
2,28,10.2289134716127
1,30,10.0700041534354
1,9,2.28953464642658
1,27,9.08094612616203
4,42,16.4255678400366
2,33,12.2599400040305
2,37,14.2332193264405
1,39,15.0660389120986
2,48,19.5706704012481
1,21,6.47673207640848
1,46,16.3279052169139
1,43,15.9233008537835
2,43,17.1289307458316
3,32,10.4557788544011
2,37,13.9032877195481
1,19,5.46988308511519
3,9,1.85944440512025
3,26,9.01907931057608
3,40,13.8529436795
5,47,17.5341668864519
5,42,15.8905492418329
5,41,15.1362540241937
5,30,10.283447461557
5,40,13.9976351270557
5,16,4.55559323538861
5,13,3.53601557561392
