6	-52	32
39	-40	51
5	47	24
25	-26	-25
35	11	-13
40	36	37
49	-2	-18
8	15	26
29	56	7
23	-63	-10
15	35	3
7	-71	-9
57	-6	-5
25	-1	-12
7	-3	63
48	-48	18
41	-71	-5
44	-60	9
12	48	13
43	-9	47
7	-13	45
38	-24	50
9	25	42
6	-68	11
31	-77	21
9	-61	47
21	32	53
54	-21	1
52	7	36
9	-94	-2
32	-45	-26
44	-10	14
38	-30	7
12	-12	13
16	-41	15
27	-31	6
21	-26	5
26	-8	-7
24	-25	-12
11	-43	-1
-4	-52	33
-38	-43	51
-5	46	26
-22	-28	-25
-33	9	-13
-43	32	37
-48	-4	-19
-7	14	26
-31	54	7
-21	-63	-10
-12	34	3
-6	-70	-8
-56	-8	-10
-24	-3	-12
-7	-5	62
-45	-48	17
-39	-72	-5
-44	-60	10
-12	46	13
-41	-12	47
-4	-14	45
-39	-21	48
-9	24	42
-5	-68	12
-30	-79	20
-7	-61	47
-21	32	54
-53	-22	0
-51	0	37
-8	-94	-3
-31	-45	-26
-43	-12	14
-36	-32	5
-11	-13	13
-15	-41	16
-25	-33	5
-21	-27	6
-26	-10	-7
-23	-27	-13
-9	-42	-1
