module_discrete	degree
1	20
1	39
4	38
3	33
3	43
2	56
3	53
2	50
4	57
1	55
4	46
1	51
3	36
3	29
2	35
1	36
1	34
1	43
4	37
2	51
2	31
1	52
2	65
1	29
1	54
1	62
2	70
3	53
2	50
1	30
3	33
3	10
3	60
5	73
5	61
5	72
5	41
5	59
5	36
5	29
1	28
1	38
4	42
3	27
3	48
2	55
3	46
2	51
4	53
1	57
4	44
1	46
3	45
3	29
2	37
1	33
1	39
1	37
4	43
2	49
2	31
1	50
2	64
1	32
1	56
1	65
2	73
3	52
2	43
1	37
3	36
3	10
3	55
5	67
5	61
5	69
5	46
5	63
5	46
5	29
