0	60	0
-30	36	-16
-44	48	-4
-29	31	-8
31	32	-12
-42	2	24
-38	34	12
-44	28	20
-30	58	6
-28	50	10
-36	15	32
-44	16	26
48	36	18
-32	26	24
-20	20	56
-4.67	28	38.67
10.67	26.67	48.67
-8	50	0
12	38	18
6	29	26
4	24	18
14	24	34
3	16	30
-4	0	42
-36	12	-16
-30	21	-9
-26	24	6
-34	20	-2
-38	4	-10
-44	0	-2
33	23	-4
46	18	0
40	16	-8
44	6	-12
42	-8	6
54	12	-6
-14.5	16.5	-8.335
18	18	-8
12	12	-4
-6	4	0
22	26	6
22	20	14
20	4	16
-20	2	12
-20	2	-10
-22	-8	14
20	12	6
20	6	-12
26	-6	14
-14	-4	4
-26	-12	0
14	0	6
24	-10	-4
28	-18	-2
-12	-14	-10
-0.33	-13.33	-9.33
9	-15	-10
2	-26	-22
-22	-20	-2
-22	-26	10
2	-8	6
20	-18	16
7	-24	2
26	-30	6
-38	-22	-16
-16	-2	-18
-16	-36	-9
26	-20	-24
20	-34	-4
-60	2	14
-34	-16	42
-40	-16	50
-24	-30	52
40	-8	38
0	-8	56
8	-6	56
-52	-20	40
-36	-36	48
62	-18	36
-54	-52	-8
-50	-56	-20
52	-60	-2
-54	-36	24
-44	-44	38
-58	-48	24
63	-43	27
-46	-62	28
56	-58	28
-24	-54	48
-28	-64	38
32	-66	32
-8	-20	42
-12	-30	42
16	-30	44
-4	-38	30
11	-55	12
-6	-58	12
-14	-60	48
22	-60	26
4	-65	31
16	-66	22
-10	-68	22
-16	-70	34
17	-71	40
-10	-76	40
-33.5	-62	-19
-34	-70	-12
34	-48	-20
30	-66	-12
-16	-88	-20
30	-60	-22
44	-64	-24
22	-72	-20
32	-74	-22
-40	-72	10
-30	-80	16
-30	-83	-4
-30	-86	-12
-6	-86	-10
-13	-86.5	2
10	-77	-7
30	-78	20
16	-80	0
30	-84	8
16	-86	6
14	-90	-8
