-6	-42	27
-39	-30	46
-5	57	19
-25	-16	-30
-35	21	-18
-40	46	32
-49	8	-23
-8	25	21
-29	66	2
-23	-53	-15
-15	45	-2
-7	-61	-14
-57	4	-10
-25	9	-17
-7	7	58
-48	-38	13
-41	-61	-10
-44	-50	4
-12	58	8
-43	1	42
-7	-3	40
-38	-14	45
-9	35	37
-6	-58	6
-31	-67	16
-9	-51	42
-21	42	48
-54	-11	-4
-52	17	31
-9	-84	-7
-32	-35	-31
-44	0	9
-38	-20	2
-12	-2	8
-16	-31	10
-27	-21	1
-21	-16	0
-26	2	-12
-24	-15	-17
-11	-33	-6
4	-42	28
38	-33	46
5	56	21
22	-18	-30
33	19	-18
43	42	32
48	6	-24
7	24	21
31	64	2
21	-53	-15
12	44	-2
6	-60	-13
56	2	-15
24	7	-17
7	5	57
45	-38	12
39	-62	-10
44	-50	5
12	56	8
41	-2	42
4	-4	40
39	-11	43
9	34	37
5	-58	7
30	-69	15
7	-51	42
21	42	49
53	-12	-5
51	10	32
8	-84	-8
31	-35	-31
43	-2	9
36	-22	0
11	-3	8
15	-31	11
25	-23	0
21	-17	1
26	0	-12
23	-17	-18
9	-32	-6
